name,price,description,stock,sku,category,tag,weight,dimension,scraping_method
Gothorita,189.0,"According to many old tales, it creates friends for itself by controlling sleeping children on starry nights.",148 in stock,5260,"Manipulate, Pokemon","Frisk, gothorita, Manipulate",39.7 kg,2 x 2 x 2 cm,Selenium
Gothitelle,164.0,They can predict the future from the placement and movement of the stars. They can see Trainers’ life spans.,52 in stock,1473,"Astral Body, Pokemon","Astral Body, Frisk, gothitelle",97 kg,4 x 4 x 4 cm,Selenium
Solosis,134.0,They drive away attackers by unleashing psychic power. They can use telepathy to talk with others.,226 in stock,7460,"Cell, Pokemon","Cell, Magic Guard, solosis",2.2 kg,1 x 1 x 1 cm,Selenium
Duosion,71.0,"When their two divided brains think the same thoughts, their psychic power is maximized.",183 in stock,2453,"Mitosis, Pokemon","duosion, Magic Guard, Mitosis",17.6 kg,2 x 2 x 2 cm,Selenium
Reuniclus,168.0,"When Reuniclus shake hands, a network forms between their brains, increasing their psychic power.",193 in stock,1792,"Multiplying, Pokemon","Magic Guard, Multiplying, reuniclus",44.3 kg,3 x 3 x 3 cm,Selenium
Ducklett,159.0,"They are better at swimming than flying, and they happily eat their favorite food, peat moss, as they dive underwater.",275 in stock,4228,"Pokemon, Water Bird","ducklett, Keen Eye, Water Bird",12.1 kg,1 x 1 x 1 cm,Selenium
Swanna,36.0,Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.,238 in stock,5069,"Pokemon, White Bird","Keen Eye, swanna, White Bird",53.4 kg,4 x 4 x 4 cm,Selenium
Vanillite,108.0,This Pokémon formed from icicles bathed in energy from the morning sun. It sleeps buried in snow.,284 in stock,1774,"Fresh Snow, Pokemon","Fresh Snow, Ice Body, vanillite",12.6 kg,1 x 1 x 1 cm,Selenium
Vanillish,93.0,"Snowy mountains are this Pokémon’s habitat. During an ancient ice age, they moved to southern areas.",218 in stock,5776,"Icy Snow, Pokemon","Ice Body, Icy Snow, vanillish",90.4 kg,3 x 3 x 3 cm,Selenium
Vanilluxe,89.0,"Swallowing large amounts of water, they make snow clouds inside their bodies and, when angry, cause violent blizzards.",30 in stock,2362,"Pokemon, Snowstorm","Ice Body, Snowstorm, vanilluxe",126.8 kg,4 x 4 x 4 cm,Selenium
Deerling,141.0,The turning of the seasons changes the color and scent of this Pokémon’s fur. People use it to mark the seasons.,159 in stock,5837,"Pokemon, Season","Chlorophyll, deerling, Season",43 kg,2 x 2 x 2 cm,Selenium
Sawsbuck,76.0,"They migrate according to the seasons, so some people call Sawsbuck the harbingers of spring.",299 in stock,6782,"Pokemon, Season","Chlorophyll, sawsbuck, Season",203.9 kg,6 x 6 x 6 cm,Selenium
Karrablast,41.0,For some reason they evolve when they receive electrical energy while they are attacking Shelmet.,296 in stock,9391,"Clamping, Pokemon","Clamping, karrablast, Shed Skin",13 kg,1 x 1 x 1 cm,Selenium
Escavalier,189.0,These Pokémon evolve by wearing the shell covering of a Shelmet. The steel armor protects their whole body.,281 in stock,1906,"Cavalry, Pokemon","Cavalry, escavalier, Swarm",72.8 kg,3 x 3 x 3 cm,Selenium
Foongus,129.0,"It lures Pokémon with its pattern that looks just like a Poké Ball, then releases poison spores.",225 in stock,7154,"Mushroom, Pokemon","Effect Spore, foongus, Mushroom",2.2 kg,3 x 3 x 3 cm,Selenium
Frillish,63.0,"If its veil-like arms stun and wrap a foe, that foe will be dragged miles below the surface, never to return.",32 in stock,5310,"Floating, Pokemon","Floating, frillish, Water Absorb",72.8 kg,3 x 3 x 3 cm,Selenium
Jellicent,114.0,"The fate of the ships and crew that wander into Jellicent’s habitat: all sunken, all lost, all vanished.",216 in stock,2412,"Floating, Pokemon","Floating, jellicent, Water Absorb",297.6 kg,7 x 7 x 7 cm,Selenium
Alomomola,35.0,It gently holds injured and weak Pokémon in its fins. Its special membrane heals their wounds.,296 in stock,8864,"Caring, Pokemon","alomomola, Caring, Hydration",69.7 kg,3 x 3 x 3 cm,Selenium
Joltik,59.0,"They attach themselves to large-bodied Pokémon and absorb static electricity, which they store in an electric pouch.",137 in stock,4385,"Attaching, Pokemon","Attaching, Compound Eyes, joltik",1.3 kg,3 x 3 x 3 cm,Selenium
Galvantula,57.0,"When attacked, they create an electric barrier by spitting out many electrically charged threads.",61 in stock,4595,"EleSpider, Pokemon","Compound Eyes, EleSpider, galvantula",31.5 kg,2 x 2 x 2 cm,Selenium
Ferroseed,81.0,It absorbs the iron it finds in the rock while clinging to the ceiling. It shoots spikes when in danger.,149 in stock,5368,"Pokemon, Thorn Seed","ferroseed, Iron Barbs, Thorn Seed",41.4 kg,2 x 2 x 2 cm,Selenium
Ferrothorn,182.0,"They attach themselves to cave ceilings, firing steel spikes at targets passing beneath them.",74 in stock,5533,"Pokemon, Thorn Pod","ferrothorn, Iron Barbs, Thorn Pod",242.5 kg,3 x 3 x 3 cm,Selenium
Klink,75.0,The two minigears that mesh together are predetermined. Each will rebound from other minigears without meshing.,84 in stock,5294,"Gear, Pokemon","Gear, klink, Plus",46.3 kg,1 x 1 x 1 cm,Selenium
Klang,162.0,"A minigear and big gear comprise its body. If the minigear it launches at a foe doesn’t return, it will die.",114 in stock,9991,"Gear, Pokemon","Gear, klang, Plus",112.4 kg,2 x 2 x 2 cm,Selenium
Klinklang,178.0,Its red core functions as an energy tank. It fires the charged energy through its spikes into an area.,87 in stock,9489,"Gear, Pokemon","Gear, klinklang, Plus",178.6 kg,2 x 2 x 2 cm,Selenium
Tynamo,82.0,"One alone can emit only a trickle of electricity, so a group of them gathers to unleash a powerful electric shock.",46 in stock,7438,"EleFish, Pokemon","EleFish, Levitate, tynamo",0.7 kg,2 x 2 x 2 cm,Selenium
Eelektrik,198.0,"These Pokémon have a big appetite. When they spot their prey, they attack it and paralyze it with electricity.",150 in stock,5128,"EleFish, Pokemon","eelektrik, EleFish, Levitate",48.5 kg,3 x 3 x 3 cm,Selenium
Eelektross,123.0,They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.,111 in stock,2066,"EleFish, Pokemon","eelektross, EleFish, Levitate",177.5 kg,6 x 6 x 6 cm,Selenium
Elgyem,107.0,Rumors of its origin are linked to a UFO crash site in the desert 50 years ago.,111 in stock,3449,"Cerebral, Pokemon","Cerebral, elgyem, Synchronize",19.8 kg,1 x 1 x 1 cm,Selenium
Beheeyem,34.0,It uses psychic power to control an opponent’s brain and tamper with its memories.,68 in stock,7367,"Cerebral, Pokemon","beheeyem, Cerebral, Synchronize",76.1 kg,3 x 3 x 3 cm,Selenium
Litwick,37.0,"Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns.",76 in stock,7933,"Candle, Pokemon","Candle, Flash Fire, litwick",6.8 kg,1 x 1 x 1 cm,Selenium
Lampent,157.0,It arrives near the moment of death and steals spirit from the body.,48 in stock,6418,"Lamp, Pokemon","Flash Fire, Lamp, lampent",28.7 kg,2 x 2 x 2 cm,Selenium
Axew,123.0,"They mark their territory by leaving gashes in trees with their tusks. If a tusk breaks, a new one grows in quickly.",142 in stock,9236,"Pokemon, Tusk","axew, Rivalry, Tusk",39.7 kg,2 x 2 x 2 cm,Selenium
Fraxure,64.0,"A broken tusk will not grow back, so it diligently sharpens its tusks on river rocks after the end of a battle.",234 in stock,8993,"Axe Jaw, Pokemon","Axe Jaw, fraxure, Rivalry",79.4 kg,3 x 3 x 3 cm,Selenium
Haxorus,135.0,Their sturdy tusks will stay sharp even if used to cut steel beams. These Pokémon are covered in hard armor.,239 in stock,3951,"Axe Jaw, Pokemon","Axe Jaw, haxorus, Rivalry",232.6 kg,5 x 5 x 5 cm,Selenium
Cubchoo,62.0,"Their snot is a barometer of health. When healthy, their snot is sticky and the power of their ice moves increases.",45 in stock,3643,"Chill, Pokemon","Chill, cubchoo, Snow Cloak",18.7 kg,1 x 1 x 1 cm,Selenium
Beartic,28.0,It freezes its breath to create fangs and claws of ice to fight with. Cold northern areas are its habitat.,272 in stock,1322,"Freezing, Pokemon","beartic, Freezing, Snow Cloak",573.2 kg,8 x 8 x 8 cm,Selenium
Cryogonal,72.0,"They are composed of ice crystals. They capture prey with chains of ice, freezing the prey at -148 degrees Fahrenheit.",203 in stock,5993,"Crystallizing, Pokemon","cryogonal, Crystallizing, Levitate",326.3 kg,3 x 3 x 3 cm,Selenium
Shelmet,190.0,It evolves when bathed in an electric-like energy along with Karrablast. The reason is still unknown.,131 in stock,8708,"Pokemon, Snail","Hydration, shelmet, Snail",17 kg,1 x 1 x 1 cm,Selenium
Accelgor,129.0,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane.",124 in stock,7958,"Pokemon, Shell Out","accelgor, Hydration, Shell Out",55.8 kg,2 x 2 x 2 cm,Selenium
Stunfisk,67.0,"It conceals itself in the mud of the seashore. Then it waits. When prey touch it, it delivers a jolt of electricity.",288 in stock,2448,"Pokemon, Trap","Static, stunfisk, Trap",24.3 kg,2 x 2 x 2 cm,Selenium
Mienfoo,197.0,"In fights, they dominate with onslaughts of flowing, continuous attacks. With their sharp claws, they cut enemies.",82 in stock,2424,"Martial Arts, Pokemon","Inner Focus, Martial Arts, mienfoo",44.1 kg,2 x 2 x 2 cm,Selenium
Mienshao,50.0,"Using the long fur on its arms like whips, it launches into combo attacks that, once started, no one can stop.",253 in stock,8121,"Martial Arts, Pokemon","Inner Focus, Martial Arts, mienshao",78.3 kg,4 x 4 x 4 cm,Selenium
Druddigon,110.0,"It warms its body by absorbing sunlight with its wings. When its body temperature falls, it can no longer move.",266 in stock,4185,"Cave, Pokemon","Cave, druddigon, Rough Skin",306.4 kg,5 x 5 x 5 cm,Selenium
Golett,89.0,Ancient science fashioned this Pokémon from clay. It’s been active for thousands of years.,274 in stock,8500,"Automaton, Pokemon","Automaton, golett, Iron Fist",202.8 kg,3 x 3 x 3 cm,Selenium
Golurk,74.0,It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.,133 in stock,5196,"Automaton, Pokemon","Automaton, golurk, Iron Fist",727.5 kg,9 x 9 x 9 cm,Selenium
Pawniard,37.0,"Ignoring their injuries, groups attack by sinking the blades that cover their bodies into their prey.",58 in stock,3172,"Pokemon, Sharp Blade","Inner Focus, pawniard, Sharp Blade",22.5 kg,1 x 1 x 1 cm,Selenium
Bisharp,129.0,Bisharp pursues prey in the company of a large group of Pawniard. Then Bisharp finishes off the prey.,255 in stock,8828,"Pokemon, Sword Blade","bisharp, Inner Focus, Sword Blade",154.3 kg,5 x 5 x 5 cm,Selenium
Bouffalant,59.0,"Their fluffy fur absorbs damage, even if they strike foes with a fierce headbutt.",201 in stock,5666,"Bash Buffalo, Pokemon","Bash Buffalo, bouffalant, Reckless",208.6 kg,5 x 5 x 5 cm,Selenium
Rufflet,60.0,"They will challenge anything, even strong opponents, without fear. Their frequent fights help them become stronger.",194 in stock,8587,"Eaglet, Pokemon","Eaglet, Keen Eye, rufflet",23.1 kg,1 x 1 x 1 cm,Selenium
Braviary,83.0,They fight for their friends without any thought about danger to themselves. One can carry a car while flying.,262 in stock,1770,"Pokemon, Valiant","braviary, Keen Eye, Valiant",90.4 kg,4 x 4 x 4 cm,Selenium
Vullaby,61.0,Their wings are too tiny to allow them to fly. They guard their posteriors with bones that were gathered by Mandibuzz.,16 in stock,8446,"Diapered, Pokemon","Big Pecks, Diapered, vullaby",19.8 kg,1 x 1 x 1 cm,Selenium
Mandibuzz,89.0,"Watching from the sky, they swoop to strike weakened Pokémon on the ground. They decorate themselves with bones.",296 in stock,7635,"Bone Vulture, Pokemon","Big Pecks, Bone Vulture, mandibuzz",87.1 kg,3 x 3 x 3 cm,Selenium
Heatmor,81.0,"It draws in air through its tail, transforms it into fire, and uses it like a tongue. It melts Durant and eats them.",299 in stock,5965,"Anteater, Pokemon","Anteater, Flash Fire, heatmor",127.9 kg,4 x 4 x 4 cm,Selenium
Durant,28.0,"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor.",272 in stock,2490,"Iron Ant, Pokemon","durant, Iron Ant, Swarm",72.8 kg,1 x 1 x 1 cm,Selenium
Deino,63.0,"Lacking sight, it’s unaware of its surroundings, so it bumps into things and eats anything that moves.",40 in stock,8088,"Irate, Pokemon","deino, Hustle, Irate",38.1 kg,2 x 2 x 2 cm,Selenium
Zweilous,199.0,"After it has eaten up all the food in its territory, it moves to another area. Its two heads do not get along.",69 in stock,6661,"Hostile, Pokemon","Hostile, Hustle, zweilous",110.2 kg,4 x 4 x 4 cm,Selenium
Hydreigon,86.0,"It responds to movement by attacking. This scary, three-headed Pokémon devours everything in its path!",299 in stock,9310,"Brutal, Pokemon","Brutal, hydreigon, Levitate",352.7 kg,5 x 5 x 5 cm,Selenium
Volcarona,94.0,"When volcanic ash darkened the atmosphere, it is said that Volcarona’s fire provided a replacement for the sun.",57 in stock,6817,"Pokemon, Sun","Flame Body, sun, volcarona",101.4 kg,5 x 5 x 5 cm,Selenium
Cobalion,111.0,It has a body and heart of steel. It worked with its allies to punish people when they hurt Pokémon.,94 in stock,5798,"Iron Will, Pokemon","cobalion, Iron Will, Justified",551.2 kg,6 x 6 x 6 cm,Selenium
Terrakion,87.0,"Spoken of in legend, this Pokémon used its phenomenal power to destroy a castle in its effort to protect Pokémon.",136 in stock,1701,"Cavern, Pokemon","Cavern, Justified, terrakion",573.2 kg,6 x 6 x 6 cm,Selenium
Virizion,156.0,Legends say this Pokémon confounded opponents with its swift movements.,161 in stock,7907,"Grassland, Pokemon","Grassland, Justified, virizion",440.9 kg,6 x 6 x 6 cm,Selenium
Reshiram,147.0,"When Reshiram’s tail flares, the heat energy moves the atmosphere and changes the world’s weather.",235 in stock,6531,"Pokemon, Vast White","reshiram, Turboblaze, Vast White",727.5 kg,10 x 10 x 10 cm,Selenium
Zekrom,135.0,"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail.",253 in stock,8154,"Deep Black, Pokemon","Deep Black, Teravolt, zekrom",760.6 kg,9 x 9 x 9 cm,Selenium
Genesect,173.0,This Pokémon existed 300 million years ago. Team Plasma altered it and attached a cannon to its back.,30 in stock,4041,"Paleozoic, Pokemon","Download, genesect, Paleozoic",181.9 kg,4 x 4 x 4 cm,Selenium
Chespin,185.0,Such a thick shell of wood covers its head and back that even a direct hit from a truck wouldn’t faze it.,267 in stock,2048,"Pokemon, Spiny Nut","chespin, Overgrow, Spiny Nut",19.8 kg,1 x 1 x 1 cm,Selenium
Quilladin,161.0,They strengthen their lower bodies by running into one another. They are very kind and won’t start fights.,61 in stock,7500,"Pokemon, Spiny Armor","Overgrow, quilladin, Spiny Armor",63.9 kg,2 x 2 x 2 cm,Selenium
Chesnaught,96.0,"When it takes a defensive posture with its fists guarding its face, it could withstand a bomb blast.",145 in stock,5360,"Pokemon, Spiny Armor","chesnaught, Overgrow, Spiny Armor",198.4 kg,5 x 5 x 5 cm,Selenium
Fennekin,123.0,"As it walks, it munches on a twig in place of a snack. It intimidates opponents by puffing hot air out of its ears.",183 in stock,1069,"Fox, Pokemon","Blaze, fennekin, Fox",20.7 kg,1 x 1 x 1 cm,Selenium
Braixen,59.0,"When the twig is plucked from its tail, friction sets the twig alight. The flame is used to send signals to its allies.",71 in stock,6617,"Fox, Pokemon","Blaze, braixen, Fox",32 kg,3 x 3 x 3 cm,Selenium
Delphox,170.0,"Using psychic power, it generates a fiery vortex of 5,400 degrees Fahrenheit, incinerating foes swept into this whirl of flame.",146 in stock,3188,"Fox, Pokemon","Blaze, delphox, Fox",86 kg,4 x 4 x 4 cm,Selenium
Froakie,38.0,"It protects its skin by covering its body in delicate bubbles. Beneath its happy-go-lucky air, it keeps a watchful eye on its surroundings.",143 in stock,8475,"Bubble Frog, Pokemon","Bubble Frog, froakie, Torrent",15.4 kg,1 x 1 x 1 cm,Selenium
Frogadier,125.0,"Its swiftness is unparalleled. It can scale a tower of more than 2,000 feet in a minute’s time.",58 in stock,4488,"Bubble Frog, Pokemon","Bubble Frog, frogadier, Torrent",24 kg,2 x 2 x 2 cm,Selenium
Greninja,42.0,"It appears and vanishes with a ninja’s grace. It toys with its enemies using swift movements, while slicing them with throwing stars of sharpest water.",213 in stock,1004,"Ninja, Pokemon","greninja, Ninja, Torrent",88.2 kg,4 x 4 x 4 cm,Selenium
Bunnelby,66.0,It has ears like shovels. Digging holes strengthens its ears so much that they can sever thick roots effortlessly.,194 in stock,1862,"Digging, Pokemon","bunnelby, Digging, Pickup",11 kg,1 x 1 x 1 cm,Selenium
Fletchling,43.0,"Despite the beauty of its lilting voice, it’s merciless to intruders that enter its territory.",127 in stock,6897,"Pokemon, Tiny Robin","Big Pecks, fletchling, Tiny Robin",3.7 kg,1 x 1 x 1 cm,Selenium
Fletchinder,147.0,"The hotter the flame sac on its belly, the faster it can fly, but it takes some time to get the fire going.",36 in stock,9413,"Ember, Pokemon","Ember, Flame Body, fletchinder",35.3 kg,2 x 2 x 2 cm,Selenium
Talonflame,84.0,"When attacking prey, it can reach speeds of up to 310 mph. It finishes its prey off with a colossal kick.",205 in stock,6530,"Pokemon, Scorching","Flame Body, Scorching, talonflame",54 kg,3 x 3 x 3 cm,Selenium
Scatterbug,40.0,"The powder that covers its body regulates its temperature, so it can live in any region or climate.",50 in stock,5928,"Pokemon, Scatterdust","scatterbug, Scatterdust, Shield Dust",5.5 kg,1 x 1 x 1 cm,Selenium
Spewpa,155.0,"The beaks of bird Pokémon can’t begin to scratch its stalwart body. To defend itself, it spews powder.",168 in stock,2784,"Pokemon, Scatterdust","Scatterdust, Shed Skin, spewpa",18.5 kg,1 x 1 x 1 cm,Selenium
Vivillon,177.0,The patterns on this Pokémon’s wings depend on the climate and topography of its habitat. It scatters colorful scales.,208 in stock,9125,"Pokemon, Scale","Scale, Shield Dust, vivillon",37.5 kg,3 x 3 x 3 cm,Selenium
Litleo,34.0,They set off on their own from their pride and live by themselves to become stronger. These hot-blooded Pokémon are quick to fight.,288 in stock,5074,"Lion Cub, Pokemon","Lion Cub, litleo, Rivalry",29.8 kg,2 x 2 x 2 cm,Selenium
Pyroar,127.0,"With fiery breath of more than 10,000 degrees Fahrenheit, they viciously threaten any challenger. The females protect the pride’s cubs.",38 in stock,5896,"Pokemon, Royal","pyroar, Rivalry, Royal",179.7 kg,4 x 4 x 4 cm,Selenium
Flabebe,79.0,"When it finds a flower it likes, it dwells on that flower its whole life long. It floats in the wind’s embrace with an untroubled heart.",24 in stock,1253,"Pokemon, Single Bloom","flabebe, Flower Veil, Single Bloom",0.2 kg,4 x 4 x 4 cm,Selenium
Floette,149.0,"When the flowers of a well-tended flower bed bloom, it appears and celebrates with an elegant dance.",270 in stock,4585,"Pokemon, Single Bloom","floette, Flower Veil, Single Bloom",2 kg,4 x 4 x 4 cm,Selenium
Florges,93.0,"In times long past, governors of castles would invite Florges to create flower gardens to embellish the castle domains.",25 in stock,9793,"Garden, Pokemon","florges, Flower Veil, Garden",22 kg,3 x 3 x 3 cm,Selenium
Skiddo,129.0,"If it has sunshine and water, it doesn’t need to eat, because it can generate energy from the leaves on its back.",271 in stock,5049,"Mount, Pokemon","Mount, Sap Sipper, skiddo",68.3 kg,2 x 2 x 2 cm,Selenium
Gogoat,97.0,They inhabit mountainous regions. The leader of the herd is decided by a battle of clashing horns.,104 in stock,6039,"Mount, Pokemon","gogoat, Mount, Sap Sipper",200.6 kg,5 x 5 x 5 cm,Selenium
Pangoro,76.0,"It charges ahead and bashes its opponents like a berserker, uncaring about any hits it might take. Its arms are mighty enough to snap a telephone pole.",271 in stock,3178,"Daunting, Pokemon","Daunting, Iron Fist, pangoro",299.8 kg,6 x 6 x 6 cm,Selenium
Furfrou,165.0,"Historically, in the Kalos region, these Pokémon were the designated guardians of the king.",180 in stock,6858,"Pokemon, Poodle","Fur Coat, furfrou, Poodle",61.7 kg,3 x 3 x 3 cm,Selenium
Espurr,149.0,"It has enough psychic energy to blast everything within 300 feet of itself, but it has no control over its power.",169 in stock,6882,"Pokemon, Restraint","espurr, Keen Eye, Restraint",7.7 kg,1 x 1 x 1 cm,Selenium
Honedge,101.0,"If anyone dares to grab its hilt, it wraps a blue cloth around that person’s arm and drains that person’s life energy completely.",101 in stock,2418,"Pokemon, Sword","honedge, No Guard, Sword",4.4 kg,2 x 2 x 2 cm,Selenium
Doublade,164.0,"The complex attack patterns of its two swords are unstoppable, even for an opponent greatly accomplished at swordplay.",144 in stock,3642,"Pokemon, Sword","doublade, No Guard, Sword",9.9 kg,2 x 2 x 2 cm,Selenium
Spritzee,58.0,"In the past, rather than using perfume, royal ladies carried a Spritzee that would waft a fragrance they liked.",241 in stock,7207,"Perfume, Pokemon","Healer, Perfume, spritzee",1.1 kg,2 x 2 x 2 cm,Selenium
Aromatisse,194.0,"Its scent is so overpowering that, unless a Trainer happens to really enjoy the smell, he or she will have a hard time walking alongside it.",198 in stock,7781,"Fragrance, Pokemon","aromatisse, Fragrance, Healer",34.2 kg,2 x 2 x 2 cm,Selenium
Swirlix,90.0,"Because it eats nothing but sweets, its fur is as sticky sweet as cotton candy.",129 in stock,1694,"Cotton Candy, Pokemon","Cotton Candy, Sweet Veil, swirlix",7.7 kg,1 x 1 x 1 cm,Selenium
Slurpuff,66.0,"Its sense of smell is 100 million times better than a human’s, so even the faintest scent tells it about everything in the area. It’s like it can see with its nose!",262 in stock,1013,"Meringue, Pokemon","Meringue, slurpuff, Sweet Veil",11 kg,2 x 2 x 2 cm,Selenium
Inkay,38.0,"It flashes the light-emitting spots on its body, which drains its opponent’s will to fight. It takes the opportunity to scuttle away and hide.",167 in stock,5522,"Pokemon, Revolving","inkay, Revolving, Suction Cups",7.7 kg,1 x 1 x 1 cm,Selenium
Malamar,58.0,"It lures its prey close with hypnotic motions, then wraps its tentacles around it before finishing it off with digestive fluids.",294 in stock,8034,"Overturning, Pokemon","malamar, Overturning, Suction Cups",103.6 kg,4 x 4 x 4 cm,Selenium
Binacle,102.0,"They stretch and then contract, yanking their rocks along with them in bold hops. They eat seaweed that washes up on the shoreline.",143 in stock,2430,"Pokemon, Two-Handed","binacle, Sniper, Two-Handed",68.3 kg,1 x 1 x 1 cm,Selenium
Barbaracle,165.0,"Barbaracle’s legs and hands have minds of their own, and they will move independently. But they usually follow the head’s orders.",123 in stock,2186,"Collective, Pokemon","barbaracle, Collective, Sniper",211.6 kg,4 x 4 x 4 cm,Selenium
Skrelp,63.0,It looks just like rotten kelp. It hides from foes while storing up power for its evolution.,184 in stock,4439,"Mock Kelp, Pokemon","Mock Kelp, Poison Point, skrelp",16.1 kg,1 x 1 x 1 cm,Selenium
Dragalge,151.0,"Tales are told of ships that wander into seas where Dragalge live, never to return.",254 in stock,8707,"Mock Kelp, Pokemon","dragalge, Mock Kelp, Poison Point",179.7 kg,5 x 5 x 5 cm,Selenium
Clauncher,29.0,"Through controlled explosions of internal gas, it can expel water like a pistol shot. At close distances, it can shatter rock.",152 in stock,3133,"Pokemon, Water Gun","clauncher, Mega Launcher, Water Gun",18.3 kg,1 x 1 x 1 cm,Selenium
Clawitzer,69.0,"By expelling water from the nozzle in the back of its claw, it can move at a speed of 60 knots.",65 in stock,1535,"Howitzer, Pokemon","clawitzer, Howitzer, Mega Launcher",77.8 kg,4 x 4 x 4 cm,Selenium
Helioptile,62.0,The frills on either side of its head have cells that generate electricity when exposed to sunlight.,126 in stock,3461,"Generator, Pokemon","Generator, helioptile, Sand Veil",13.2 kg,1 x 1 x 1 cm,Selenium
Heliolisk,83.0,"It stimulates its muscles with electricity, boosting the strength in its legs and enabling it to run 100 yards in five seconds.",43 in stock,3157,"Generator, Pokemon","Generator, heliolisk, Sand Veil",46.3 kg,3 x 3 x 3 cm,Selenium
Tyrunt,62.0,Its immense jaws have enough destructive force that it can chew up an automobile. It lived 100 million years ago.,148 in stock,6058,"Pokemon, Royal Heir","Royal Heir, Strong Jaw, tyrunt",57.3 kg,2 x 2 x 2 cm,Selenium
Tyrantrum,26.0,"Nothing could stop this Pokémon 100 million years ago, so it behaved like a king.",58 in stock,2750,"Despot, Pokemon","Despot, Strong Jaw, tyrantrum",595.2 kg,8 x 8 x 8 cm,Selenium
Amaura,155.0,This calm Pokémon lived in a cold land where there were no violent predators like Tyrantrum.,187 in stock,3786,"Pokemon, Tundra","amaura, Refrigerate, Tundra",55.6 kg,4 x 4 x 4 cm,Selenium
Aurorus,189.0,"Using its diamond-shaped crystals, it can instantly create a wall of ice to block an opponent’s attack.",243 in stock,3008,"Pokemon, Tundra","aurorus, Refrigerate, Tundra",496 kg,8 x 8 x 8 cm,Selenium
Sylveon,48.0,It wraps its ribbonlike feelers around the arm of its beloved Trainer and walks with him or her.,20 in stock,8161,"Intertwining, Pokemon","Cute Charm, Intertwining, sylveon",51.8 kg,3 x 3 x 3 cm,Selenium
Hawlucha,44.0,"With its wings, it controls its position in the air. It likes to attack from above, a maneuver that is difficult to defend against.",30 in stock,2009,"Pokemon, Wrestling","hawlucha, Limber, Wrestling",47.4 kg,2 x 2 x 2 cm,Selenium
Dedenne,118.0,"It uses its tail to absorb electricity from power plants or from outlets in houses, and then it fires the electricity from its whiskers.",71 in stock,3410,"Antenna, Pokemon","Antenna, dedenne, Pickup",4.9 kg,2 x 2 x 2 cm,Selenium
Carbink,171.0,It has slept underground for hundreds of millions of years since its birth. It’s occasionally found during the excavation of caves.,290 in stock,1834,"Jewel, Pokemon","carbink, Clear Body, Jewel",12.6 kg,1 x 1 x 1 cm,Selenium
Goomy,110.0,It’s covered in a slimy membrane that makes any punches or kicks slide off it harmlessly.,122 in stock,3506,"Pokemon, Soft Tissue","goomy, Hydration, Soft Tissue",6.2 kg,1 x 1 x 1 cm,Selenium
Sliggoo,109.0,"Its four horns are a high-performance radar system. It uses them to sense sounds and smells, rather than using ears or a nose.",232 in stock,8675,"Pokemon, Soft Tissue","Hydration, sliggoo, Soft Tissue",38.6 kg,2 x 2 x 2 cm,Selenium
Goodra,192.0,It attacks with retractable horns. It throws a punch that’s the equivalent of the force of a hundred pro boxers.,185 in stock,1614,"Dragon, Pokemon","Dragon, goodra, Hydration",331.8 kg,6 x 6 x 6 cm,Selenium
Klefki,179.0,"It never lets go of a key that it likes, so people give it the keys to vaults and safes as a way to prevent crime.",30 in stock,2856,"Key Ring, Pokemon","Key Ring, klefki, Prankster",6.6 kg,6 x 6 x 6 cm,Selenium
Trevenant,53.0,"Using its roots as a nervous system, it controls the trees in the forest. It’s kind to the Pokémon that reside in its body.",167 in stock,3436,"Elder Tree, Pokemon","Elder Tree, Natural Cure, trevenant",156.5 kg,4 x 4 x 4 cm,Selenium
Bergmite,119.0,"Using air of -150 degrees Fahrenheit, they freeze opponents solid. They live in herds above the snow line on mountains.",248 in stock,7042,"Ice Chunk, Pokemon","bergmite, Ice Chunk, Own Tempo",219.4 kg,3 x 3 x 3 cm,Selenium
Avalugg,71.0,The way several Bergmite huddle on its back makes it look like an aircraft carrier made of ice.,156 in stock,5514,"Iceberg, Pokemon","avalugg, Iceberg, Own Tempo",1113.3 kg,6 x 6 x 6 cm,Selenium
Noibat,126.0,"Even a robust wrestler will become dizzy and unable to stand when exposed to its 200,000-hertz ultrasonic waves.",136 in stock,6099,"Pokemon, Sound Wave","Frisk, noibat, Sound Wave",17.6 kg,1 x 1 x 1 cm,Selenium
Noivern,75.0,The ultrasonic waves it emits from its ears can reduce a large boulder to pebbles. It swoops out of the dark to attack.,159 in stock,1413,"Pokemon, Sound Wave","Frisk, noivern, Sound Wave",187.4 kg,4 x 4 x 4 cm,Selenium
Xerneas,30.0,"When the horns on its head shine in seven colors, it is said to be sharing everlasting life.",171 in stock,6107,"Life, Pokemon","Fairy Aura, Life, xerneas",474 kg,9 x 9 x 9 cm,Selenium
